References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell,LCSC,JLC Assembly
C1,1,1uF 0603 X5R,Murata,GRM188R71E224KA88D,KEMET,C0603C105K8PACTU,Yageo,CC0603KRX5R6BB105,,,,,399-C0603C105K8PAC7867DKR-ND,603CC603KRX5R6BB105,4612708,91R0949,9402080,C77051,
C2,1,10uF 0603 X5R,TDK,C1608X5R1A106M080AC,,06036D106MAT2A,AVX,06036D106MAT2A,TDK,C1608X5R0J106K080AB,TDK,C1608X5R1A106K080AC,478-5318-6-ND,810C1608X5R1A106K,7882887P,04X3239,2211164,C3877917,
C4,1,0.1uF 0603 X5R,Kemet,C0603C104K5RACTU,Murata,GRM033R60J104KE19D,KEMET,C0603C104K5RACTU,,,,,490-3167-6-ND,81GRM033R60J104KE19,8015347,72J5992,1288255,C127833,
D1,1,Diode MiniMELF,,LL4148,onsemi,FDLL4148,Diotec,LL4148,onsemi,LL4148,,,LL4148FSCT-ND,512LL4148,6708823,14M6003,2356382,C3011166,
"LED1,LED2",2,0603 20mA yellow,Rohm,SML-D12Y8WT86,Dialight,598-8040-107F,Dialight,598-8150-107F,ROHM,SML-D12Y8WT86,,,350-2032-6-ND,755SMLD12Y8WT86,7008039P,75R0585,1867104,C2840179,
Q1,1,"30V Vds, 3A Id, Dual HEXFET MOSFET",International Rectifier,IRF7309PBF,Infineon,IRF7309TRPBF,,,,,,,IRF7309PBFTR-ND,942IRF7309TRPBF,8268866,19K8239,2468006,C3289674,
R1,1,10k 0603,Vishay,CRCW060310K0JNEA,Vishay,CRCW060310K0JNEAIF,,,,,,,541-10KAQCT-ND,71CRCW060310K0JNEAI,8206928,52K8066,1739174,C169103,
"R2,R4",2,100k  0603,Vishay,CRCW0603100KJNEA,Vishay,CRCW0603100KJNEAIF,,,,,,,541-100KAQDKR-ND,71CRCW0603100KJNAIF,8206916P,59M6763,1692517,C844723,
R3,1,300k  0603,Vishay,CRCW0603300KFKEA,Yageo,RC0603JR-07300KL,,,,,,,311-300KGRCT-ND,603RC0603JR07300KL,6790178,52K8409,3495948,C844772,
"R5, R6",2,1k 0603,Yageo,RC0805FR-071KL,,,,,,,,,311-1.00KCRDKR-ND,603RC0805FR071KL,6183583,82K7536,9237496,C95781,
SW1,1,Tactile switch,,FSM2JSMA,TE Connectivity,2-1437565-7,,,,,,,450-1130-ND,506FSM2JSMA,4791491P,92F2864,3801287,C7193797,
