Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor,,,
"C1, ",1,1uF,C,Capacitors_SMD.pretty:C_0603_HandSoldering,Unpolarized capacitor,,,,
"C2, ",1,10uF,C,Capacitors_SMD.pretty:C_0603_HandSoldering,Unpolarized capacitor,,,,
"D1, ",1,D,D,Diodes_SMD.pretty:SOD-323,Diode,1466524,,,
"P1, P2, ",2,CONN_01X04,CONN_01X04,Pin_Headers.pretty:Pin_Header_Straight_1x04,Connector 01x04,,,,
"Q1, ",1,IRF7309IPBF,IRF7309IPBF,Housings_SOIC.pretty:SOIJ-8_5.3x5.3mm_Pitch1.27mm,"30V Vds, 3A Id, Dual HEXFET MOSFET, SO-8",2468006,,,
"R1, ",1,10k,R,Resistors_SMD.pretty:R_0603_HandSoldering,Resistor,,,,
"R2, R4, ",2,100k,R,Resistors_SMD.pretty:R_0603_HandSoldering,Resistor,,,,
"R3, ",1,300k,R,Resistors_SMD.pretty:R_0603_HandSoldering,Resistor,,,,
"SW1, ",1,SW_PUSH_SMALL,SW_PUSH_SMALL,Buttons_Switches_SMD.pretty:SW_SPST_EVPBF,,3801305,,,
,,,,,,,,,
References,Qty,Part Number,Description,Farnell,,,,,
C1,1,,1uF 0603 X5R,,,,,,
C2,1,,10uF 0603 X5R,,,,,,
D1,1,,,1466524,,,,,
Q1,1,IRF7309IPBF,,2468006,,,,,
R1,1,,10k 0603 5%,,,,,,
"R2, R4",2,,100k  0603 5%,,,,,,
R3,1,,300k  0603 5%,,,,,,
SW1,1,,,3801305,,,,,
,,,,,,,,,
References,Quantity,Manufacturer,Part Number,Description,Digikey,Mouser,RS,Newark,Farnell
C1,1,TDK,C0603X5R0J104K030BC,1uF 0603 X5R,445-1796-1-ND,CC0603KRX5R7BB105,7882818,04X3188,2354048
C2,1,TDK,C1608X5R1A106M080AC,10uF 0603 X5R,445-6853-1-ND,06036D106MAT2A,7882893,04X3239,2211164
D1,1,Multicomp,1N4148WS,,1N4148WSFL-G3-08GICT-ND,512-1N4148WS,7613476,74M5710,1466524
Q1,1,,IRF7309PBF,,,,,,2468006
R1,1,Vishay,CRCW060310K0JNEA,10k 0603 5%,541-10KGCT-ND,RC0603JR-1310KL,6186807,52K8066,1469749
"R2, R4",2,Vishay,CRCW0603100KJNEA,100k  0603 5%,541-100KGCT-ND,TNPU0603100KBZEN00,8206916,68R0147,9241370
R3,1,Yageo,RC0603JR-07300KL,300k  0603 5%,311-300KGRCT-ND,ERJ-PA3J304V,7325836,65T8626,2073466
SW1,1,TE Connectivity,4-1437565-1,,450-1129-ND,4-1437565-1,4791508,93K3887,3801305
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
References,Quantity,Manufacturer,Part Number,Description,Digikey,Mouser,RS,Newark,Farnell
C1,1,TDK,C0603X5R0J104K030BC,1uF 0603 X5R,445-1796-1-ND,CC0603KRX5R7BB105,7882818,04X3188,2354048
C2,1,TDK,C1608X5R1A106M080AC,10uF 0603 X5R,445-6853-1-ND,06036D106MAT2A,7882893,04X3239,2211164
D1,1,Multicomp,1N4148WS,,1N4148WS-FDICT-ND,1N4148WS-E3-18,7613476,74M5710,1466524
Q1,1,International Rectifier,IRF7309PBF,,IRF7309PBFTR-ND,IRF7309PBF,5429377,19K8239,2468006
R1,1,Vishay,CRCW060310K0JNEA,10k 0603,,,,,
"R2, R4",2,Vishay,CRCW0603100KJNEA,100k  0603,,,,,
R3,1,Yageo,RC0603JR-07300KL,300k  0603,,,,,
SW1,1,TE Connectivity,4-1437565-1,,450-1129-ND,414375651,4791508,93K3887,3801305
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
References,Quantity,Manufacturer,Part Number,Description,Digikey,Mouser,RS,Newark,Farnell
C1,1,TDK,C0603X5R0J104K030BC,1uF 0603 X5R,445-1796-1-ND,CC0603KRX5R7BB105,7882818,04X3188,2354048
